"STATIONID"	"COMID"	"BFICat_Import"	"NWs_Import"
"WPA_02_0006"	18439476	25.08732583	0.159940004
"WPA_02_0007"	18439224	26	0.160521761
"WPA_03_0001"	18439486	25	0.159940004
"WPA_03_0006"	18439328	25	0.159940004
"WPA_03_0007"	18439484	25	0.159940004
"WPA_03_0009"	18439320	25.8081761	0.159940004
"WPA_03_0011"	18439328	25	0.159940004
"WPA_03_0012"	18439320	25.8081761	0.159940004
"WPA_03_0013"	18439490	25.00372539	0.159940004
"WPA_04_0003"	18440402	26	0.131320258
"WPA_04_0004"	18439238	26	0.130040108
"WPA_04_0005"	18439446	27.00472587	0.101855296
"WPA_04_0006"	18439450	27.7751938	0.104414451
"WPA_04_0007"	18439136	27	0.16415236
"WPA_04_0008"	18439128	26.99921322	0.16210203
"WPA_04_0010"	18439168	26.93004845	0.159940004
"WPA_04_0012"	18440472	26	0.159940004
"WPA_04_0013"	18440264	26	0.383345625
"WPA_04_0014"	18439160	26.28937466	0.159940004
"WPA_04_0015"	18440472	26	0.159940004
"WPA_05_0001"	18440124	24.35006435	0.217519681
"WPA_05_0002"	18440192	26	0.327014477
"WPA_05_0004"	18440112	24.09185262	0.159940004
"WPA_06_0001"	18440382	27.12545018	0.159630031
"WPA_06_0003"	18440288	26.86748466	0.159798439
"WPA_06_0005"	18440250	28	0.159637037
"WPA_06_0006"	18440440	26.36004479	0.159619188
"WPA_06_0007"	18440382	27.12545018	0.159630031
"WPA_07_0001"	18440602	26.42256664	0.168825194
"WPA_07_0002"	18440590	26.57873916	0.165669378
"WPA_07_0003"	18440600	26.30330845	0.160468936
"WPA_07_0004"	18440460	27.12017804	0.159940004
"WPA_08_0007"	18440186	26.83181758	0.173170332
"WPA_08_0008"	18440568	22.52795113	0.178712534
"WPA_08_0009"	18440200	22.99784147	0.177664877
"WPA_08_0010"	18440448	24.90475667	0.292979002
"WPA_08_0011"	18440568	22.52795113	0.178712534
"WSA_02_0003"	18505824	24.30953977	0.083420262
"WSA010_0012"	18506092	24.01450008	0.097768601
"WSU_01_0010"	18482180	28.30968933	0.149838001
"WSU_04_0003"	18482302	32.29145533	0.072336003
"WSU_05_0001"	18483252	34.83479506	0.128921187
"WSU_06_0010"	18483430	35.11118336	0.121311887
"WSU_06_0012"	18483462	33.93295935	0.117596209
"WSU_06_0014"	18482498	33	0.126143164
"WSU010_0010"	18482706	27.35474714	0.149838001
"WSU040_0020"	18482398	33.16897619	0.138357777
"WTI_02_0021"	18486586	48.90851872	0.149838001
"WTI_03_0014"	18486760	53.41465863	0.260811573
"WTI_04_0017"	18489000	57.02722646	0.162878807
"WTI_05_0015"	18489132	49.15750646	0.248766016
"WTI_06_0008"	18489096	55.39951027	0.158792788
"WTI_06_0010"	18487750	61.92347697	0.242336347
"WTI_08_0004"	18489890	45	0.136180461
"WTI_10_0012"	18488726	46	0.23946779
"WTI_12_0004"	18490472	39	0.146432828
"WTI_13_0002"	18490464	39.55230583	0.125553286
"WUW_07_0014"	18508402	21	0.059999999
"WUW_08_0006"	18508400	21	0.0894341
"WUW_10_0001"	18507384	28.26298858	0.149838001
"WUW_10_0002"	18508282	25.7879062	0.114655238
"WUW_11_0004"	18508536	24.00750705	0.059999999
"WUW_14_0002"	18508572	28.32000646	0.08758395
"WUW_15_0001"	18508462	29.91240967	0.059999999
"WUW_15_0002"	18509002	32.88800728	0.060578132
"WUW_16_0002"	18509152	34	0.103985412
"WWE_02_0002"	18464560	31.93695352	0.065066795
"WWE_04_0003"	18464506	28.00201021	0.133646103
"WWE_04_0006"	18464506	28.00201021	0.133646103
"WWE_05_0005"	18464624	28.69339356	0.071513287
"WWE_06_0001"	18466392	30.7630854	0.159940004
"WWE_07_0001"	18465584	30.21693013	0.130639139
"WWE_07_0003"	18466388	31.46062918	0.159940004
"WWE_07_0004"	18466554	30.04561977	0.088511521
"WWE_07_0005"	18465058	31	0.159940004
"WWE_08_0003"	18466486	26.05408148	0.101580584
"WWL_01_0003"	18469770	24.98117121	0.072336003
"WWL_01_0004"	18469524	25.99216225	0.06059203
"WWL_02_0003"	18469570	27.65779221	0.045942167
"WWL_03_0003"	18470238	27.22611344	0.084024553
"WWL_04_0001"	18470054	27	0.159940004
"WWL_05_0001"	18470416	27	0.109869248
"WWL_07_0002"	18470750	28.18855238	0.197169908
"WWL_08_0003"	18472170	27.30390492	0.118819355
"WWL_08_0004"	18470990	26	0.209967927
"WWL_10_0004"	18471090	24.78380043	0.109889078
"WWL_10_0005"	18471056	25.7039555	0.108189559
"WWU_01_0003"	18474115	28.28433504	0.149838001
"WWU_01_0006"	18474727	33.03794897	0.149838001
"WWU_03_0001"	18474927	33.20671871	0.149838001
"WWU_03_0002"	18474935	36.59393359	0.150528654
"WWU_04_0001"	18474739	33.99002263	0.108231493
"WWU_05_0001"	18474685	33.25475897	0.080714987
"WWU_07_0001"	18474777	34.52712374	0.138913878
"WWU_07_0002"	18476313	34.54622132	0.131092473
"WWU_08_0002"	18475729	37.98838391	0.12443848
"WWU_08_0004"	18475725	36.96488378	0.149838001
"WWU_09_0002"	18476873	23	0.116661812
"WWU_09_0003"	18476401	32.03167509	0.116394715
"WWU_09_0004"	18474871	36.21606467	0.059999999
"WWU_10_0002"	18476341	30.6563843	0.094625581
"WWU_11_0004"	18476789	23.85822919	0.149838001
"WWU_11_0005"	18476799	22.90232895	0.151804006
"WWU_13_0001"	18476813	22.07860312	0.12668173
"WWU_13_0003"	18476591	24.29421025	0.121278182
"WWU_13_0006"	18476407	23.46236333	0.149838001
"WWU_15_0001"	18477427	24.09973238	0.126002607
"WWU_15_0002"	18477247	23.73387494	0.127653459
"WWU_17_0003"	18477357	26.30486832	0.12206984
"WWU010_0039"	18474115	28.28433504	0.149838001
"WWU100_0040"	18475665	37.46324177	0.117637679
"WWU100_0064"	18475665	37.46324177	0.117637679
"WWU100_0078"	18474863	37.38496905	0.139617785
"WWU100_0098"	18474829	34.90733214	0.149838001
"WWU100_0106"	18474829	34.90733214	0.149838001
