"SAMPLEID","BFI","LAT","LONG","STATIONID","COLLDATE","INDEX_REGION_LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_LOW_N","nt_LOW_P","pi_Tol_13","pt_Achnan_Navic","pt_BC_12","pt_O_345","pt_PT_12","pt_SALINITY_34","pt_Sens_810","pt_BC_12_adj","SC_nt_LOW_N","SC_nt_LOW_P","SC_pi_Tol_13","SC_pt_Achnan_Navic","SC_pt_BC_12_adj","SC_pt_O_345","SC_pt_PT_12","SC_pt_SALINITY_34","SC_pt_Sens_810","sum_Index","Index","Index_Nar"
"AB18815",39.63521094,39.56663915,-85.21580655,"GMW-04-0008","9/23/2014","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,7,7,17.8752107925801,26.5625,17.1875,31.25,15.625,17.1875,23.4375,2.0875,NA,100,NA,69.7916666666667,NA,68.4782608695652,NA,43.4027777777778,44.7916666666667,326.464371980676,65.2928743961353,"Satisfactory"
"AB18816",40.32432309,39.53150334,-85.16793874,"GMW-04-0012","9/23/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,4,12.5838926174497,30.3571428571429,10.7142857142857,28.5714285714286,8.92857142857143,16.0714285714286,17.8571428571429,-4.38571428571429,42.8571428571429,NA,77.1168903803132,90.8730158730159,28.8392857142857,NA,85.1648351648352,NA,NA,324.851169989593,64.9702339979186,"Satisfactory"
"AB18817",35.68,39.43577249,-85.19398539,"GMW-05-0001","9/10/2014","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,8,8,7.67946577629382,31.7073170731707,19.5121951219512,24.390243902439,12.1951219512195,9.75609756097561,34.1463414634146,4.41219512195122,NA,100,NA,98.3739837398374,NA,98.3032873806999,NA,84.6883468834688,80.4878048780488,461.853422882055,92.370684576411,"Exceptional"
"AB18818",31.61191206,39.40167316,-85.21285429,"GMW-05-0002","9/10/2014","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,7,8,1.84873949579832,37.2093023255814,23.2558139534884,32.5581395348837,9.30232558139535,11.6279069767442,32.5581395348837,8.15581395348837,NA,100,NA,100,NA,62.7906976744186,NA,74.2894056847545,75.1937984496124,412.273901808786,82.4547803617571,"Exceptional"
"AB18819",35.09449637,39.43041876,-85.03296538,"GMW-06-0002","9/9/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,4,6.8561872909699,26,10,34,10,10,26,-5.1,42.8571428571429,NA,89.0496098104794,66.6666666666667,24.375,NA,76.9230769230769,NA,NA,299.871496257366,59.9742992514732,"Satisfactory"
"AB18820",39.03705315,39.78496025,-85.15148215,"GMW-01-0003","9/29/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,7.85953177257525,24,8,42,12,22,16,-7.1,14.2857142857143,NA,86.9593088071349,55.5555555555556,11.875,NA,61.5384615384615,NA,NA,230.214040186866,46.0428080373733,"Moderately Degraded"
"AB18821",37.16646317,39.86865107,-84.98267706,"GMW-03-0008","10/6/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,4.20168067226891,30.4347826086957,8.69565217391304,41.304347826087,13.0434782608696,17.3913043478261,19.5652173913043,-6.40434782608696,28.5714285714286,NA,94.5798319327731,91.304347826087,16.2228260869565,NA,53.5117056856187,NA,NA,284.190140102864,56.8380280205728,"Satisfactory"
"AB18822",36.97514756,39.95101866,-84.9155735,"GMW-03-0009","10/6/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,9,20,13.3333333333333,30,11.6666666666667,13.3333333333333,21.6666666666667,-1.76666666666667,28.5714285714286,NA,84.5833333333333,33.3333333333333,45.2083333333333,NA,64.1025641025641,NA,NA,255.798992673993,51.1597985347985,"Moderately Degraded"
"AB18823",38.88159622,39.79431332,-85.03207576,"GMW-03-0015","9/29/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,8.19397993311037,23.0769230769231,12.8205128205128,33.3333333333333,10.2564102564103,12.8205128205128,15.3846153846154,-2.27948717948718,28.5714285714286,NA,86.2625418060201,50.4273504273504,42.0032051282051,NA,74.9506903353057,NA,NA,282.21521626831,56.443043253662,"Satisfactory"
"AB18826",37,39.77788765,-84.94128014,"GMW-07-0010","10/1/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,3,1.1844331641286,9.09090909090909,21.2121212121212,15.1515151515152,6.06060606060606,6.06060606060606,30.3030303030303,6.11212121212121,14.2857142857143,NA,100,0,94.4507575757576,NA,100,NA,NA,308.736471861472,61.7472943722944,"Satisfactory"
"AB18827",37,39.78703622,-84.92820887,"GMW-07-0011","10/1/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,2,13.0217028380634,25,14.2857142857143,30.3571428571429,10.7142857142857,14.2857142857143,19.6428571428571,-0.814285714285713,28.5714285714286,NA,76.2047857540345,61.1111111111111,51.1607142857143,NA,71.4285714285714,NA,NA,288.47661115086,57.695322230172,"Satisfactory"
"AB18829",33,39.94245305,-84.8211769,"GMW-07-0014","10/8/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,4,3.01003344481605,16.2162162162162,10.8108108108108,37.8378378378378,13.5135135135135,8.10810810810811,24.3243243243243,-4.28918918918919,42.8571428571429,NA,97.0624303232999,12.3123123123123,29.4425675675676,NA,49.8960498960499,NA,NA,231.570502956373,46.3141005912745,"Moderately Degraded"
"AB18830",35.31328848,39.85835642,-84.8979807,"GMW-07-0015","10/1/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,2.5,9.375,9.375,34.375,15.625,9.375,34.375,-5.725,28.5714285714286,NA,98.125,0,20.46875,NA,33.6538461538462,NA,NA,180.819024725275,36.1638049450549,"Moderately Degraded"
"AB18831",39.03705315,39.79367475,-85.14961372,"GMW-01-0004","9/29/2014","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,2.83806343906511,18.1818181818182,9.09090909090909,30.3030303030303,12.1212121212121,15.1515151515152,15.1515151515152,-6.00909090909091,28.5714285714286,NA,97.4207011686144,23.2323232323232,18.6931818181818,NA,60.6060606060606,NA,NA,228.523695396609,45.7047390793217,"Moderately Degraded"
